,,,,,,,,,,,Census,2010 Based Population Forecasts,,,,2020 Census Data
680,Burlington,58,20,Hartford,205,NHCOG,3,NHCOG,R,,1989,2223,2450,2674,,
681,Burlington,58,20,Hartford,205,NHCOG,3,NHCOG,R,,3361,3755,4140,4518,,
682,Burlington,58,20,Hartford,205,NHCOG,3,NHCOG,R,,1483,1657,1828,1993,,
214,Canaan,16,21,Litchfield,304,NHCOG,3,NHCOG,R,,609,644,677,710,,
215,Canaan,16,21,Litchfield,304,NHCOG,3,NHCOG,R,,90,95,100,105,,
216,Canaan,16,21,Litchfield,304,NHCOG,3,NHCOG,R,,161,170,179,188,,
217,Canaan,16,21,Litchfield,304,NHCOG,3,NHCOG,R,,374,395,416,436,,
1751,Canterbury,159,22,Windham,803,NECCOG,15,NECCOG,R,,883,971,1057,1141,,
1752,Canterbury,159,22,Windham,803,NECCOG,15,NECCOG,R,,847,932,1014,1095,,
1753,Canterbury,159,22,Windham,803,NECCOG,15,NECCOG,R,,1658,1823,1985,2143,,
1754,Canterbury,159,22,Windham,803,NECCOG,15,NECCOG,R,,1744,1918,2087,2253,,
700,Canton,63,23,Hartford,206,CRCOG,10,CRCOG,10,,969,1044,1117,1189,,
701,Canton,63,23,Hartford,206,CRCOG,10,CRCOG,10,,1645,1772,1897,2018,,
702,Canton,63,23,Hartford,206,CRCOG,10,CRCOG,10,,646,696,745,793,,
703,Canton,63,23,Hartford,206,CRCOG,10,CRCOG,10,,987,1063,1138,1211,,
704,Canton,63,23,Hartford,206,CRCOG,10,CRCOG,10,,435,470,502,534,,
705,Canton,63,23,Hartford,206,CRCOG,10,CRCOG,10,,2340,2521,2697,2871,,
706,Canton,63,23,Hartford,206,CRCOG,10,CRCOG,10,,2302,2480,2654,2824,,
707,Canton,63,23,Hartford,206,CRCOG,10,CRCOG,10,,968,1043,1116,1188,,
1616,Chaplin,144,24,Windham,804,NECCOG,15,NECCOG,R,,559,596,633,668,,
1617,Chaplin,144,24,Windham,804,NECCOG,15,NECCOG,R,,544,580,616,650,,
1618,Chaplin,144,24,Windham,804,NECCOG,15,NECCOG,R,,479,512,542,574,,
1619,Chaplin,144,24,Windham,804,NECCOG,15,NECCOG,R,,723,771,818,864,,
778,Cheshire,69,25,New Haven,505,NVCOG,5,CNVRMPO,5,,2219,2389,2555,2717,,
779,Cheshire,69,25,New Haven,505,NVCOG,5,CNVRMPO,5,,4660,5017,5365,5705,,
780,Cheshire,69,25,New Haven,505,NVCOG,5,CNVRMPO,5,,698,751,804,855,,
781,Cheshire,69,25,New Haven,505,NVCOG,5,CNVRMPO,5,,444,479,511,544,,
782,Cheshire,69,25,New Haven,505,NVCOG,5,CNVRMPO,5,,3148,3389,3624,3855,,
783,Cheshire,69,25,New Haven,505,NVCOG,5,CNVRMPO,5,,513,553,591,628,,
784,Cheshire,69,25,New Haven,505,NVCOG,5,CNVRMPO,5,,2408,2593,2772,2949,,
785,Cheshire,69,25,New Haven,505,NVCOG,5,CNVRMPO,5,,2182,2349,2512,2672,,
786,Cheshire,69,25,New Haven,505,NVCOG,5,CNVRMPO,5,,2925,3149,3368,3582,,
787,Cheshire,69,25,New Haven,505,NVCOG,5,CNVRMPO,5,,1624,1748,1870,1989,,
788,Cheshire,69,25,New Haven,505,NVCOG,5,CNVRMPO,5,,941,1013,1083,1152,,
789,Cheshire,69,25,New Haven,505,NVCOG,5,CNVRMPO,5,,1283,1381,1477,1571,,
790,Cheshire,69,25,New Haven,505,NVCOG,5,CNVRMPO,5,,3567,3840,4107,4368,,
791,Cheshire,69,25,New Haven,505,NVCOG,5,CNVRMPO,5,,2649,2852,3050,3244,,
1493,Chester,123,26,Middlesex,401,RiverCOG,11,RiverCOG,11,,661,707,752,796,,
1494,Chester,123,26,Middlesex,401,RiverCOG,11,RiverCOG,11,,1067,1141,1214,1285,,
1495,Chester,123,26,Middlesex,401,RiverCOG,11,RiverCOG,11,,609,652,693,733,,
1496,Chester,123,26,Middlesex,401,RiverCOG,11,RiverCOG,11,,1657,1772,1884,1995,,
1304,Clinton,103,27,Middlesex,402,RiverCOG,11,RiverCOG,11,,1672,1750,1826,1901,,
1305,Clinton,103,27,Middlesex,402,RiverCOG,11,RiverCOG,11,,1438,1506,1572,1635,,
1306,Clinton,103,27,Middlesex,402,RiverCOG,11,RiverCOG,11,,3666,3837,4004,4168,,
1307,Clinton,103,27,Middlesex,402,RiverCOG,11,RiverCOG,11,,4519,4730,4936,5138,,
1308,Clinton,103,27,Middlesex,402,RiverCOG,11,RiverCOG,11,,1965,2057,2146,2234,,
1471,Colchester,120,28,New London,602,SCCOG,13,SCCOG,13,,1329,1535,1736,1933,,
1472,Colchester,120,28,New London,602,SCCOG,13,SCCOG,13,,1897,2191,2478,2759,,
1473,Colchester,120,28,New London,602,SCCOG,13,SCCOG,13,,1495,1727,1953,2174,,
1474,Colchester,120,28,New London,602,SCCOG,13,SCCOG,13,,1618,1869,2114,2353,,
1475,Colchester,120,28,New London,602,SCCOG,13,SCCOG,13,,1674,1934,2187,2435,,
1476,Colchester,120,28,New London,602,SCCOG,13,SCCOG,13,,864,998,1129,1257,,
1477,Colchester,120,28,New London,602,SCCOG,13,SCCOG,13,,1110,1282,1450,1615,,
1478,Colchester,120,28,New London,602,SCCOG,13,SCCOG,13,,1603,1852,2094,2332,,
1479,Colchester,120,28,New London,602,SCCOG,13,SCCOG,13,,1848,2135,2414,2688,,
1480,Colchester,120,28,New London,602,SCCOG,13,SCCOG,13,,2630,3037,3435,3825,,
360,Colebrook,37,29,Litchfield,305,NHCOG,3,NHCOG,R,,316,333,349,365,,
361,Colebrook,37,29,Litchfield,305,NHCOG,3,NHCOG,R,,677,713,748,783,,
362,Colebrook,37,29,Litchfield,305,NHCOG,3,NHCOG,R,,261,275,288,302,,
363,Colebrook,37,29,Litchfield,305,NHCOG,3,NHCOG,R,,231,243,256,267,,
1558,Columbia,134,30,Tolland,703,CRCOG,10,CRCOG,10,,1455,1622,1785,1945,,
1559,Columbia,134,30,Tolland,703,CRCOG,10,CRCOG,10,,1232,1374,1511,1647,,
1560,Columbia,134,30,Tolland,703,CRCOG,10,CRCOG,10,,1091,1216,1339,1458,,
1561,Columbia,134,30,Tolland,703,CRCOG,10,CRCOG,10,,1707,1903,2094,2281,,
218,Cornwall,17,31,Litchfield,306,NHCOG,3,NHCOG,R,,240,247,253,260,,
219,Cornwall,17,31,Litchfield,306,NHCOG,3,NHCOG,R,,249,256,263,270,,
220,Cornwall,17,31,Litchfield,306,NHCOG,3,NHCOG,R,,751,772,793,812,,
221,Cornwall,17,31,Litchfield,306,NHCOG,3,NHCOG,R,,180,185,190,195,,
1566,Coventry,136,32,Tolland,704,CRCOG,10,CRCOG,10,,3867,4197,4519,4835,,
1567,Coventry,136,32,Tolland,704,CRCOG,10,CRCOG,10,,1401,1521,1638,1752,,
1568,Coventry,136,32,Tolland,704,CRCOG,10,CRCOG,10,,4638,5034,5420,5798,,
1569,Coventry,136,32,Tolland,704,CRCOG,10,CRCOG,10,,2529,2745,2955,3162,,
1220,Cromwell,95,33,Middlesex,403,RiverCOG,11,RiverCOG,11,,1295,1399,1500,1599,,
1221,Cromwell,95,33,Middlesex,403,RiverCOG,11,RiverCOG,11,,3380,3651,3915,4174,,
1222,Cromwell,95,33,Middlesex,403,RiverCOG,11,RiverCOG,11,,1863,2012,2158,2300,,
1223,Cromwell,95,33,Middlesex,403,RiverCOG,11,RiverCOG,11,,1104,1192,1279,1363,,
1224,Cromwell,95,33,Middlesex,403,RiverCOG,11,RiverCOG,11,,1823,1969,2111,2251,,
1225,Cromwell,95,33,Middlesex,403,RiverCOG,11,RiverCOG,11,,2167,2341,2510,2676,,
1226,Cromwell,95,33,Middlesex,403,RiverCOG,11,RiverCOG,11,,2373,2563,2748,2930,,
141,Danbury,8,34,Fairfield,104,WestCOG,1,HVMPO,2,,1666,1792,1915,2036,,
142,Danbury,8,34,Fairfield,104,WestCOG,1,HVMPO,2,,2539,2731,2919,3103,,
