,,,,,,,,,,,CTDPH,2015 Based Population Forecasts,,,
140,Ridgefield,7,117,Fairfield,115,WestCOG,1,HVMPO,2,,2656,2725,2862,2996,3128
141,Danbury,8,34,Fairfield,104,WestCOG,1,HVMPO,2,,1744,1808,1934,2058,2180
142,Danbury,8,34,Fairfield,104,WestCOG,1,HVMPO,2,,2657,2755,2948,3136,3322
143,Danbury,8,34,Fairfield,104,WestCOG,1,HVMPO,2,,1832,1900,2033,2163,2291
144,Danbury,8,34,Fairfield,104,WestCOG,1,HVMPO,2,,1796,1862,1992,2120,2245
145,Danbury,8,34,Fairfield,104,WestCOG,1,HVMPO,2,,2657,2755,2948,3136,3322
146,Danbury,8,34,Fairfield,104,WestCOG,1,HVMPO,2,,5310,5505,5890,6268,6639
147,Danbury,8,34,Fairfield,104,WestCOG,1,HVMPO,2,,4422,4584,4905,5219,5528
148,Danbury,8,34,Fairfield,104,WestCOG,1,HVMPO,2,,1346,1395,1493,1589,1683
149,Danbury,8,34,Fairfield,104,WestCOG,1,HVMPO,2,,6999,7256,7764,8262,8751
150,Danbury,8,34,Fairfield,104,WestCOG,1,HVMPO,2,,557,577,618,657,696
151,Danbury,8,34,Fairfield,104,WestCOG,1,HVMPO,2,,2420,2508,2684,2856,3025
152,Danbury,8,34,Fairfield,104,WestCOG,1,HVMPO,2,,1367,1417,1516,1613,1709
153,Danbury,8,34,Fairfield,104,WestCOG,1,HVMPO,2,,1529,1585,1696,1805,1912
154,Danbury,8,34,Fairfield,104,WestCOG,1,HVMPO,2,,2541,2634,2819,2999,3177
155,Danbury,8,34,Fairfield,104,WestCOG,1,HVMPO,2,,3005,3115,3333,3547,3757
156,Danbury,8,34,Fairfield,104,WestCOG,1,HVMPO,2,,2188,2269,2427,2583,2736
157,Danbury,8,34,Fairfield,104,WestCOG,1,HVMPO,2,,2156,2235,2391,2545,2696
158,Danbury,8,34,Fairfield,104,WestCOG,1,HVMPO,2,,3129,3244,3471,3694,3912
